learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
t = 0
CFR  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  
CFR_EX+IN  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  
CFR_IN  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  
A-CFR_IN  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  
BPS-CFR  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  
TIPS-CFR  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  
CSPS-CFR  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  
CFPS-CFR  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  
CFPS-CFR_EX+IN  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  
TIPS-CFR_EX+IN  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  
BEHAV-CFR  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  
t = 1
CFR  0.0808743  0.0753119  0.0293485  0.0293485  0.0808743  0.0293485  0.0293485  0.0293485  0.0753119  0.0753119  0.0293485  
CFR_EX+IN  0.0842882  0.0787569  0.0332302  0.0332302  0.0842882  0.0332302  0.0332302  0.0332302  0.0787569  0.0787569  0.0332302  
CFR_IN  0.0963565  0.0912252  0.05  0.05  0.0963565  0.05  0.05  0.05  0.0912252  0.0912252  0.05  
A-CFR_IN  0.0963565  0.0912252  0.05  0.05  0.0963565  0.05  0.05  0.05  0.0912252  0.0912252  0.05  
