learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
t = 0
CFR  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
CFR_EX+IN  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
CFR_IN  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
A-CFR_IN  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
BPS-CFR  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
TIPS-CFR  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
CSPS-CFR  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
CFPS-CFR  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
CFPS-CFR_EX+IN  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
TIPS-CFR_EX+IN  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
BEHAV-CFR  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  -0.127763  
BR  1.32722  1.32722  1.32722  1.32722  1.32722  1.32722  1.32722  1.32722  1.32722  1.32722  1.32722  
t = 1
CFR  0.0880851  0.0840805  0.0603012  0.0603012  0.0880851  0.0603012  0.0603012  0.0603012  0.0840805  0.0840805  0.0603012  
CFR_EX+IN  0.0912504  0.0873083  0.0642439  0.0642439  0.0912504  0.0642439  0.0642439  0.0642439  0.0873083  0.0873083  0.0642439  
CFR_IN  0.0971161  0.0935959  0.075  0.075  0.0971161  0.075  0.075  0.075  0.0935959  0.0935959  0.075  
A-CFR_IN  0.0971161  0.0935959  0.075  0.075  0.0971161  0.075  0.075  0.075  0.0935959  0.0935959  0.075  
BPS-CFR  0.0880851  0.0840805  0.0603012  0.0603012  0.0880851  0.0603012  0.0603012  0.0603012  0.0840805  0.0840805  0.0603012  
TIPS-CFR  0.0971161  0.0935959  0.075  0.075  0.0971161  0.075  0.075  0.075  0.0935959  0.0935959  0.075  
CSPS-CFR  0.0971161  0.0935959  0.075  0.075  0.0971161  0.075  0.075  0.075  0.0935959  0.0935959  0.075  
CFPS-CFR  0.0971161  0.0935959  0.075  0.075  0.0971161  0.075  0.075  0.075  0.0935959  0.0935959  0.075  
CFPS-CFR_EX+IN  0.0912504  0.0873083  0.0642439  0.0642439  0.0912504  0.0642439  0.0642439  0.0642439  0.0873083  0.0873083  0.0642439  
TIPS-CFR_EX+IN  0.0912504  0.0873083  0.0642439  0.0642439  0.0912504  0.0642439  0.0642439  0.0642439  0.0873083  0.0873083  0.0642439  
